"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"14620000";"BOA VISTA";2025-09-26 15:30:00;2025-09-26 14:30:00;2025-09-26 13:30:00;177;-6;-33;-76;-146;0;0;"BRANCO";;;"2011";268;101;490;"20%-30%";
"14710000";"CARACARAI";2025-09-26 16:15:00;2025-09-26 15:15:00;2025-09-26 14:15:00;274;-8;-39;-93;-184;0;0,4;"BRANCO";;;"2011";314;112;596;"30%-40%";
"14489000";"MARACA";2025-09-26 15:45:00;2025-09-26 14:45:00;2025-09-26 13:45:00;513;-3;-38;-98;-104;1,6;1,8;"URARICOERA";;;"2021";525,5;435;668;"40%-50%";
"14495000";"FAZENDA CAJUPIRANGA";2025-09-26 16:15:00;2025-09-26 15:15:00;2025-09-26 14:15:00;603;-4;-33;-82;-95;0;0;"URARICOERA";;;"2021";599,5;470;716;"60%-70%";
"14515000";"FAZENDA PASSARAO";2025-09-26 15:30:00;2025-09-26 14:30:00;2025-09-26 13:30:00;683;-7;-36;-85;-126;0,4;0,4;"URARICOERA";;;"2011";729;570;893;"30%-40%";
"14527000";"PONTE DO TACUTU";2025-09-25 19:30:00;2025-09-25 18:30:00;2025-09-25 17:30:00;500;0;-24;;-118;0;0;"TACUTU";;;"2011";576,5;429;792;"10%-20%";
"14530000";"VILA SURUMU";2025-09-26 09:00:00;2025-09-26 08:00:00;2025-09-26 07:00:00;313;-1;16;8;-41;0;0;"SURUMU";;;"2015";334;247;457;"20%-30%";
"14680001";"FE E ESPERANCA";2025-09-26 15:30:00;2025-09-26 14:30:00;2025-09-26 13:30:00;298;-3;-24;-44;-60;0;2,4;"MUCAJAÍ";;;"1976";302,5;224;384;"40%-50%";
"14690000";"MUCAJAI";2025-09-26 15:30:00;2025-09-26 14:30:00;2025-09-26 13:30:00;1059;-8;-35;-85;-131;0;0;"MUCAJAÍ";;;"2011";1085;920;1248;"30%-40%";
"14100000";"Manacapuru";2025-09-26 15:15:00;2025-09-26 14:15:00;2025-09-26 13:15:00;1391;-15;-114;-221;-304;50;50;"SOLIMOES";;;"2021";1203,5;618;1597;"80%-90%";
"14320001";"São Gabriel da Cachoeira";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14400000";"Tapuruquara";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14420000";"Serrinha";2025-09-26 15:30:00;2025-09-26 14:30:00;2025-09-26 13:30:00;765;-13;-52;-67;-57;4,2;12;"NEGRO";;;"2019";719;493;830;"80%-90%";
"14480002";"Barcelos";2025-09-26 16:00:00;2025-09-26 15:00:00;2025-09-26 14:00:00;558;-6;-41;-86;;0;5,8;"NEGRO";;;"2022";488;265;693;"70%-80%";
"14540000";"FAZENDA BANDEIRA BRANCA";2025-09-26 15:45:00;2025-09-26 14:45:00;2025-09-26 13:45:00;153;-3;-30;-25;-40;0;0;"COTINGO";168;;"2011";185;113;421;"10%-20%";
"14558000";"FAZENDA PARAISO";2025-09-26 16:00:00;2025-09-26 15:00:00;2025-09-26 14:00:00;533;-2;-22;-55;-94;0;0;"TACUTU";529;;"2017";600;478;776;"10%-20%";
"14790000";"SANTA MARIA DO BOIAÇU";2025-09-26 16:00:00;2025-09-26 15:00:00;2025-09-26 14:00:00;669;-11;-95;-184;-265;0;5,6;"BRANCO";583;;"2011";722;429;1034;"30%-40%";
"14840000";"MOURA";2025-09-26 10:00:00;2025-09-26 09:00:00;2025-09-26 08:00:00;960;-12;;-181;-268;10,6;27,6;"NEGRO";446;;"2022";829;420;1039;"80%-90%";
"14990000";"Manaus";2025-09-26 15:45:00;2025-09-26 14:45:00;2025-09-26 13:45:00;2331;-16;-109;-208;-288;0;0;"NEGRO";;;"2012";2111;1514;2576;"80%-90%";
