"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
10100000;-4,235;-69,945;874000;"Tabatinga";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;345;-5;-24;26;-26;0,2;101,6;"SOLIMOES";;;"1999";293;20;633;"50%-60%";;;;;
10500000;-4,341;-70,906;61400;"ESTIRÃO DO REPOUSO";2025-09-26 19:45:00;2025-09-26 18:45:00;2025-09-26 17:45:00;755;;;;;0;64,4;"JAVARI";204;;"2019";588;204;983;"80%-90%";;;;;
10910000;-4,584;-70,264;36900;"LADÁRIO - JUSANTE";2025-09-26 20:45:00;2025-09-26 19:45:00;2025-09-26 18:45:00;801;;;135;203;0,2;36,4;"ITACUAI";460;;"2001";724;463;975;"50%-60%";;;;;
11400000;-3,457;-68,912;1010000;"SÃO PAULO DE OLIVENÇA";2025-09-17 10:00:00;2025-09-17 09:00:00;2025-09-17 08:00:00;540;;;;;0;0;"SOLIMÕES";31;;"2015";502,5;32;856;"60%-70%";;;;;
12240000;-3,337;-67,492;64400;"PORTO SEGURO";2025-09-13 09:45:00;2025-09-13 08:45:00;2025-09-13 07:45:00;800;-37;;;;0;0;"JUTAÍ";714;;"2015";848;716;1035;"10%-20%";;;;;
12351000;-2,491;-66,062;1220000;"Fonte Boa";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;1385;-3;7;-33;-138;0,2;75,4;"SOLIMOES";;;"2015";1205;925;1516;"80%-90%";;;;;
12500000;-7,633;-72,66;37800;"Cruzeiro do Sul";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;424;-18;15;42;43;0;74,4;"JURUÁ";;;"2009";408;245;550;"60%-70%";;1000;1180;1300;"Normal"
12520000;-7,056;-71,689;56100;"IPIXUNA";2025-09-19 10:45:00;2025-09-19 09:45:00;2025-09-19 08:45:00;317;;-13;-19;;0;0;"JURUÁ";;;"1986";320;171;596;"40%-50%";;;;;
12590000;-8,152;-70,746;8770;"PONTE DE TARAUACÁ";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;386;-27;26;68;87;2;56,8;"TARAUACÁ";298;;"2017";371,5;298;442;"62%-75%";;;;;
12650000;-8,164;-70,356;17000;"Feijó";2025-06-09 19:00:00;2025-06-09 18:00:00;2025-06-09 17:00:00;487;18;-67;-132;-31;0;0;"FEIJÓ";;;"2021";411;334;636;"80%-90%";;1200;1350;1400;"Normal"
12845000;-1,395;-69,428;206000;"VILA BITTENCOURT";2025-09-18 07:00:00;2025-09-18 06:00:00;2025-09-18 05:00:00;1209;6;42;151;;0;0;"JAPURÁ";543;;"1989";908;546;1116;"100%-Máxima";;;;;
12850000;-1,821;-66,609;249000;"ACANAUI";2025-09-26 18:45:00;2025-09-26 17:45:00;2025-09-26 16:45:00;1192;;;;;0;47,2;"JAPURÁ";766;;"1989";984,5;625;1206;"90%-100%";;;;;
13150000;-4,058;-63,028;1780000;"Itapéua";2024-11-25 17:00:00;2024-11-25 16:00:00;2024-11-25 15:00:00;329;-4;-24;136;;0;0;"SOLIMOES";;;"2020";809;294;1228;"0%-10%";;;;;
13150003;-4,086;-63,083;1780000;"COARI";2025-09-18 07:00:00;2025-09-18 06:00:00;2025-09-18 05:00:00;1110;-12;-152;-247;;0;0;"SOLIMÕES";-2;;"2015";666;9;1153;"90%-100%";;;;;
13169900;-9,434;-70,494;15917;"SANTA ROSA DO PURUS - SEDE";2025-09-27 08:00:00;2025-09-27 07:00:00;2025-09-27 06:00:00;120;-3;-31;-50;;0;0;"PURUS";;;"2021";268;202;310;"Mínima-0%";;;;;
13180000;-8,889;-69,275;32800;"MANOEL URBANO";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;396;109;133;142;145;1,8;146;"PURUS";247;;"1997";409;245;578;"30%-40%";;;;;
13300000;-9,374;-68,724;11200;"SERINGAL SÃO JOSÉ";2025-09-27 08:45:00;2025-09-27 07:45:00;2025-09-27 06:45:00;188;4;3;-3;10;2,6;64,8;"IACO";188;;"1999";315,5;187;409;"0%-10%";;;;;
13310000;-9,068;-68,653;18000;"Sena Madureira";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;73;11;19;20;20;0,8;53,8;"IACO";;;"2021";197;57;445;"10%-20%";;1300;1400;1520;"Normal"
13450000;-10,944;-69,566;3760;"ASSIS BRASIL";2025-03-25 17:15:00;2025-03-25 16:15:00;2025-03-25 15:15:00;324;-46;-124;-220;-125;0;0;"ACRE";;;"2012";254;190;306;"100%-Máxima";;1000;1130;1250;"Normal"
13470000;-11,018;-68,745;7020;"BRASILEIA";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;84;-2;-43;3;-9;0;27,6;"ACRE";;;"2024";187;96;355;"Mínima-0%";;880;980;1140;"Normal"
13540000;-10,561;-68,705;3730;"COLONIA DOLORES";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;204;-4;-4;-10;2;0;11,8;"XAPURI";;;"2015";318;271;359;"Mínima-0%";;;;;
13550000;-10,651;-68,508;8270;"XAPURI";2025-09-27 08:30:00;2025-09-27 07:30:00;2025-09-27 06:30:00;170;-9;4;-1;-5;0;13;"ACRE";;;"2015";269,5;158;459;"0%-10%";;1150;1250;1340;"Normal"
13568000;-10,389;-67,935;15000;"CAPIXABA";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;138;1;15;6;-16;0;14,6;"ACRE";;;;;;;;;;;;
13572000;-10,005;-68,529;3210;"ESPALHA";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;25;-1;-4;7;4;0;0;"DO ROLA";;;;;;;;;;;;
13578000;-10,057;-67,964;6520;"RIO ROLA";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;64;-3;-3;;-2;0;14,2;"DO ROLA";;;"2023";129;68;182;"Mínima-0%";;;;;
13600002;-9,975;-67,801;23500;"RIO BRANCO";2025-09-27 08:45:00;2025-09-27 07:45:00;2025-09-27 06:45:00;190;-16;14;-8;35;0;17,4;"ACRE";;;"2015";285;130;570;"10%-20%";;1250;1350;1400;"Normal"
13650000;-9,067;-67,397;34400;"Floriano Peixoto";2025-09-21 18:45:00;2025-09-21 17:45:00;2025-09-21 16:45:00;460;-1;-10;25;;0;0;"ACRE";;;"1997";489;356;698;"20%-30%";;;;;
13710001;-8,653;-67,375;105000;"Valparaíso Montante";2025-09-24 08:45:00;2025-09-24 07:45:00;2025-09-24 06:45:00;318;;-14;;;0;39,4;"PURUS";;;"1997";413,5;320;644;"Mínima-0%";;;;;
13870000;-7,258;-64,798;226000;"LÁBREA";2025-09-27 08:45:00;2025-09-27 07:45:00;2025-09-27 06:45:00;470;2;-6;8;-9;2;41,6;"PURUS";336;;"1997";465;3;808;"40%-50%";;;;;
13990000;-3,899;-61,374;378000;"Beruri";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;1428;-15;-122;-245;-341;4,4;12,4;"PURUS";;;"2015";1266;677;1707;"70%-80%";;;;;
14100000;-3,311;-60,609;2200000;"Manacapuru";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;1380;-16;-114;-223;-308;0;50;"SOLIMOES";;;"2021";1190,5;611;1582;"70%-80%";;1700;1770;1960;"Normal"
14320001;-0,137;-67,086;193000;"São Gabriel da Cachoeira";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;;;;;
14400000;-0,42;-65,015;262000;"Tapuruquara";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;;;;;
14420000;-0,482;-64,829;293000;"Serrinha";2025-09-27 08:30:00;2025-09-27 07:30:00;2025-09-27 06:30:00;756;-14;-59;-76;-66;0;6;"NEGRO";;;"2019";713;493;837;"80%-90%";;;;;
14480002;-0,966;-62,931;379000;"Barcelos";2025-09-27 09:00:00;2025-09-27 08:00:00;2025-09-27 07:00:00;553;-7;-42;-86;;0;4,8;"NEGRO";;;"2022";482;257;683;"80%-90%";;;;;
14489000;3,353;-61,422;26700;"MARACA";2025-09-27 08:45:00;2025-09-27 07:45:00;2025-09-27 06:45:00;518;4;-31;-86;-101;9,8;11,6;"URARICOERA";;;"2021";515;431;666;"56%-67%";;;;;
