"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"66010000";-15,0761;-57,1819;9250;"BARRA DO BUGRES";2025-09-26 19:30:00;2025-09-26 18:30:00;2025-09-26 17:30:00;47;3;0;3;2;0;1,6;"PARAGUAI";;;"1991";58,5;29;185;"10%-20%";
"66070004";-16,0761;-57,7022;32400;"CÁCERES (DNPVN)";2025-09-26 21:00:00;2025-09-26 20:00:00;2025-09-26 19:00:00;64;-12;;;-13;0;0;"PARAGUAI";;;"1982";146,5;26;339;"0%-10%";
"66120000";-17,1433;-57,3594;64000;"PORTO CONCEICAO";2025-09-26 19:30:00;2025-09-26 18:30:00;2025-09-26 17:30:00;246;-1;-7;-18;-32;0;0;"PARAGUAI";;;"1995";307;190;423;"10%-20%";
"66125000";-17,6414;-57,6906;68900;"BELA VISTA DO NORTE";2025-09-26 19:15:00;2025-09-26 18:15:00;2025-09-26 17:15:00;375;-1;-15;33;23;0;0;"PARAGUAI";;;"1982";370,5;233;426;"44%-56%";
"66260001";-15,6156;-56,1086;23500;"CUIABÁ";2025-04-30 07:00:00;2025-04-30 06:00:00;2025-04-30 05:00:00;332;19;-69;-21;56,5384615;0;0;"CUIABÁ";;;"1974";114;-3;210;"50%-60%";
"66260006";;;;"CUIABÁ";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;127;-2;-2;-4;2;0;2,8;"CUIABÁ";;;;;;;;
"66270000";-15,8697;-56,0761;25300;"SANTO ANTÔNIO DO LEVERGER";2025-09-26 19:45:00;2025-09-26 18:45:00;2025-09-26 17:45:00;249;-5;-1;-6;1;0;0;"CUIABÁ";;;"1974";310;232;407;"0%-10%";
"66280000";;;;"BARÃO DE MELGAÇO";2025-09-23 17:00:00;2025-09-23 16:00:00;2025-09-23 15:00:00;201;0;-1;-1;-6;0;0;"CUIABÁ";;;"1992";232;172;735;"10%-20%";
"66460000";-16,6081;-55,2064;23000;"ACIMA DO CÓRREGO GRANDE";2025-09-26 21:15:00;2025-09-26 20:15:00;2025-09-26 19:15:00;51;8;19;;11;0;10,2;"SÃO LOURENÇO";;;"1997";78;7;176;"20%-30%";
"66470000";-16,9253;-56,2236;24100;"SÃO JOSÉ DO BORIREU";2023-09-15 07:00:00;2023-09-15 06:00:00;2023-09-15 05:00:00;69;-4;-4;-1;-2;0;0;"SÃO LOURENÇO";;;;;;;;
"66600000";-17,2017;-56,0086;23300;"SÃO JERÔNIMO";2025-09-26 19:45:00;2025-09-26 18:45:00;2025-09-26 17:45:00;198;0;-6;-15;-18;0;0;"PIQUIRI";;;;;;;;
"66650000";-17,2917;-56,3872;30000;"SÃO JOSÉ DO PIQUIRI";2025-09-26 21:00:00;2025-09-26 20:00:00;2025-09-26 19:00:00;185;0;-4;;-16;0;0;"PIQUIRI";;;"1977";204;140;288;"20%-30%";
"66710000";-17,3656;-56,7747;95200;"POUSADA TAIAMÃ  (Ex-Porto Jofre)";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;231;-1;-8;;-23;0;0,2;"CUIABÁ";;;"2003";270;207;319;"10%-20%";
"66810000";-18,3939;-57,3911;243000;"PORTO SAO FRANCISCO";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;512;-4;-27;-56;-74;0;0;"PARAGUAI";;;"1995";542;206;652;"20%-30%";
"66825000";-19,0017;-57,5942;253000;"LADÁRIO";2025-09-26 07:00:00;2025-09-26 06:00:00;2025-09-26 05:00:00;202;-6;-55;-63;-78;0;0;"PARAGUAI";;;"1988";282;-60;416;"20%-30%";
"66870000";-18,5078;-54,7619;27600;"COXIM";2025-09-26 21:30:00;2025-09-26 20:30:00;2025-09-26 19:30:00;364;0;1;0;-4;0;0;"TAQUARI";;;"1977";;;;"10%-20%";
"66900000";-20,7619;-56,0911;11600;"ESTRADA MT-738";2025-09-26 21:45:00;2025-09-26 20:45:00;2025-09-26 19:45:00;100;1;2;-2;-7;9,4;22,4;"MIRANDA";;;;;;;;
"66910000";-20,2408;-56,3992;15000;"MIRANDA";2025-09-26 21:00:00;2025-09-26 20:00:00;2025-09-26 19:00:00;107;0;-5;-21;-27;0;0;"MIRANDA";;;"1992";168;84;667;"0%-10%";
"66941000";-20,4481;-55,4281;10900;"PALMEIRAS";2025-09-26 21:30:00;2025-09-26 20:30:00;2025-09-26 19:30:00;130;;0;-1;0;0;1;"AQUIDAUANA";;;"2011";151;90;308;"20%-30%";
"66945000";-20,4783;-55,8014;15700;"AQUIDAUANA";2025-09-26 20:00:00;2025-09-26 19:00:00;2025-09-26 18:00:00;157;3;3;-4;-5;0;0;"AQUIDAUANA";;;"2011";253;105;402;"10%-20%";
"66960008";-19,6006;-57,4372;371000;"PORTO ESPERANÇA";2025-09-26 20:00:00;2025-09-26 19:00:00;2025-09-26 18:00:00;125;-6;-37;-64;-85;0;0;"PARAGUAI";;;;;;;;
"66970000";-19,9203;-57,7917;372000;"FORTE COIMBRA";2025-09-26 07:00:00;2025-09-26 06:00:00;2025-09-26 05:00:00;82;;;-55;;0;0;"PARAGUAI";;;"1988";227;-185;416;"20%-30%";
"67100000";-21,7003;-57,8911;576000;"PORTO MURTINHO";2025-09-26 07:00:00;2025-09-26 06:00:00;2025-09-26 05:00:00;296;-3;-24;-40;-54;0;0;"PARAGUAI";;;"1982";462,5;75;737;"30%-40%";
