"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;39;-1;0;1;-3;0;0,6;"DAS VELHAS";;;"2022";93;19;276;"0%-10%";
"41410000";"Jequitibá";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;61;-2;1;1;-4;0;0,4;"DAS VELHAS";;;"2022";84;41;206;"10%-20%";
"41650002";"Ponto do Licínio";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;138;1;-1;-1;-5;0;0;"DAS VELHAS";;;"2022";149,5;127;207;"0%-10%";
"41780002";"Presidente Juscelino";2025-09-19 07:00:00;2025-09-19 06:00:00;2025-09-19 05:00:00;46;0;-1;-1;0;0;0;"PARAUNA";;;"2020";54;38;126;"10%-20%";
"41818000";"Santo Hipólito";2025-09-26 07:00:00;2025-09-26 06:00:00;2025-09-26 05:00:00;74;5;6;6;0;0;0;"DAS VELHAS";;;"2020";88;50;174;"10%-20%";
"44200000";"São Francisco";2025-09-19 07:00:00;2025-09-19 06:00:00;2025-09-19 05:00:00;177;-3;-6;3;-7;0;0;"SÃO FRANCISCO";;;"1992";251;134;364;"0%-10%";
"45298000";"Carinhanha";2025-09-26 19:30:00;2025-09-26 18:30:00;2025-09-26 17:30:00;100;-1;-3;-5;-3;0;0;"SÃO FRANCISCO";;;"1979";183,5;63;294;"0%-10%";
"45480000";"Bom Jesus da Lapa";2025-09-26 19:30:00;2025-09-26 18:30:00;2025-09-26 17:30:00;265;;-9;-6;-8;0,2;1;"SÃO FRANCISCO";;;"1979";338;205;456;"10%-20%";
"45960001";"Porto Novo";2025-09-26 19:00:00;2025-09-26 18:00:00;2025-09-26 17:00:00;32;1;-4;-6;3;0;0;"CORRENTE";;;"2016";116;44;186;"Mínima-0%";
"46675000";"Fazenda Macambira";2024-11-28 10:00:00;2024-11-28 09:00:00;2024-11-28 08:00:00;221;4;18;57;70;0;0;"GRANDE";;;"2021";141,5;63;228;"90%-100%";
"46902000";"Boqueirão";2025-09-26 22:15:00;2025-09-26 21:15:00;2025-09-26 20:15:00;27;1;-11;-11;-11;0;0;"GRANDE";;;"1980";61;17;111;"0%-10%";
"46998000";"Barra";2025-09-26 21:30:00;2025-09-26 20:30:00;2025-09-26 19:30:00;118;0;;1;-4;0;0;"SÃO FRANCISCO";;;"1926";124,5;10;218;"25%-38%";
