"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"71200000";"Vila Canoas";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;227;-31;71;-184;-182;0;0;"CANOAS";;;;;;;;
"71300000";"Rio Bonito";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;497;-41;246;-208;101;0;0;"CANOAS";;;"1990";279;50;1068;"70%-80%";
"71350001";"Encruzilhada II";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;474;0;84;-69;-13;0;0;"CANOAS";;;"2017";252;104;841;"70%-80%";
"72715000";"Rio das Antas";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;160;-4;10;1;-7;0;0;"DO PEIXE";;;"1997";144;101;272;"70%-80%";
"72810000";"Tangará";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;114;-6;26;5;-13;0;0,4;"DO PEIXE";;;"2022";91;67;270;"60%-70%";
"72849000";"Joaçaba I";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;181;-15;59;5;-49;0;0;"DO PEIXE";;;"2014";136;69;466;"60%-70%";
"73770000";"Porto Fae Novo";2025-09-26 21:45:00;2025-09-26 20:45:00;2025-09-26 19:45:00;102;-9;-16;-54;-87;0;0,2;"CHAPECÓ";;;"1983";132;44;491;"30%-40%";
"73960000";"Barra do Chapecó Aux.";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;198;2;2;-31;;0;0;"CHAPECÓ";;;"1983";182,5;130;361;"50%-60%";
"74100000";"Iraí";2025-09-26 21:00:00;2025-09-26 20:00:00;2025-09-26 19:00:00;320;-35;-13;-19;21;0;0;"URUGUAI";;;"1983";277;130;733;"60%-70%";
"74295000";"Linha Jataí";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;83;-11;10;-7;-44;0;0,2;"IRACEMA";;;"1983";88,5;56;305;"40%-50%";
"74300000";"Guatapara de Baixo";2025-09-26 22:15:00;2025-09-26 21:15:00;2025-09-26 20:15:00;58;-2;2;-10;-17;0,2;0,4;"DAS ANTAS";;;"2013";89,5;58;182;"0%-10%";
"74320000";"Ponte do Sargento";2025-05-12 10:00:00;2025-05-12 09:00:00;2025-05-12 08:00:00;-13;2;0;1;0;0;0;"SARGENTO";;;;;;;;
"74329000";"Itapiranga";2025-09-26 22:15:00;2025-09-26 21:15:00;2025-09-26 20:15:00;156;-151;-51;-86;-51;0;0;"URUGUAI";;;"2023";169;90;226;"38%-50%";
"74500000";"Alto Uruguai";2025-09-26 21:30:00;2025-09-26 20:30:00;2025-09-26 19:30:00;308;-165;;-66;14;0;0;"URUGUAI";;;"1965";325;50;1097;"40%-50%";
"74720000";"Porto Mauá";2025-09-26 22:30:00;2025-09-26 21:30:00;2025-09-26 20:30:00;424;-101;130;-41;71;0;0;"URUGUAI";;;"2023";245;167;342;"100%-Máxima";
"74800000";"Porto Lucena";2025-09-26 21:30:00;2025-09-26 20:30:00;2025-09-26 19:30:00;254;-73;98;-17;59;0;0;"URUGUAI";;;"2014";206;28;768;"50%-60%";
"75230000";"Santo Ângelo";2025-09-26 21:45:00;2025-09-26 20:45:00;2025-09-26 19:45:00;203;-21;49;15;-6;0;0;"IJUÍ";;;"1992";158;62;566;"60%-70%";
"75550000";"Garruchos";2025-09-26 22:30:00;2025-09-26 21:30:00;2025-09-26 20:30:00;629;-160;370;;;0;0;"URUGUAI";;;"1983";273;-3;1102;"80%-90%";
